NAME,Type,District,Management,Long,Lat
Sun Yat Sen Memorial Park Community Garden,Community Garden,Central and Western,Leisure and Cultural Services Department,114.143,22.2902
Pier 3 Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.158,22.2882
Lower Albert Road Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.159,22.2785
Chung Wo Lane Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.152,22.2829
Guildford Road Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.161,22.265
Kwong Hon Terrace Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.152,22.2825
Hatton Road Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.139,22.2787
Cadogan Street Temporary Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.125,22.2825
Ka Wai Man Road Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.125,22.282
Ka Wai Man Road Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.125,22.2817
Belcher's Street Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.132,22.285
Blake Gardens,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.148,22.2843
Catchick Street Garden (1),Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.126,22.2834
Catchick Street Garden (2),Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.126,22.2827
Graham Street Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.153,22.2822
Caine Lane Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.148,22.2834
Caine Road Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.148,22.283
Harcourt Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.167,22.2789
City Hall Memorial Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.161,22.2825
Oaklands Avenue Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.144,22.2829
Sitting out Area under Flyover in Hill Road,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.135,22.2865
Hill Road Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.136,22.2849
Peak Road Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.15,22.2708
Upper Station Street Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.148,22.285
Sheung Fung Lane Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.141,22.2859
Conduit Road Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.142,22.2818
Connaught Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.16,22.2828
Cleverly Street Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.151,22.2857
Mount Davis Temporary Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.123,22.2771
Mount Davis Service Reservoir Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.124,22.2736
Kotewall Road Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.142,22.2817
Kotewall Road Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.138,22.2802
Mui Fong Street Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.143,22.2872
Lok Hing Lane Temporary Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.155,22.282
Wing Lee Street Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.15,22.2833
Wing Lee Street Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.15,22.2833
Lambeth Walk Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.162,22.2805
Statue Square Gardens,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.16,22.2811
Queen Street Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.148,22.2872
Rock Hill Street Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.13,22.2828
Plantation Road Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.157,22.2693
Third Street Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.141,22.2858
Robinson Road/Seymour Road Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.151,22.2805
Old Peak Road Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.15,22.2716
Bonham Road Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.147,22.2837
Sitting-out Area under Flyover in Bonham Road,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.138,22.2848
Wa On Lane Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.153,22.284
Pokfield Road Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.129,22.2802
Lan Kwai Fong Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.156,22.2809
Sai On Lane Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.137,22.2866
Sai Ning Street Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.121,22.2815
Peel Rise Rest Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.152,22.266
Chater Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.161,22.2805
Admiralty Garden,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.164,22.2789
Cochrane Street Sitting-out Area,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.154,22.283
Hong Kong Zoological and Botanical Gardens,Garden and Sitting-out Area,Central and Western,Leisure and Cultural Services Department,114.156,22.2775
"Hong Kong Station Podium Lv1, 3&4",Garden and Sitting-out Area,Central and Western,Private Owner,114.16,22.285
The Center ground level,Garden and Sitting-out Area,Central and Western,Private Owner,114.15,22.285
"The Centrium G/F, UG/F & 1/F",Garden and Sitting-out Area,Central and Western,Private Owner,114.15,22.281
"Cheung Kong Center G/F
 and UG/F",Garden and Sitting-out Area,Central and Western,Private Owner,114.16,22.28
"The Peak Galleria G/F,
 Level 1 and Level 2",Garden and Sitting-out Area,Central and Western,Private Owner,114.15,22.27
La Maison Du Nord ground level,Garden and Sitting-out Area,Central and Western,Private Owner,114.12888,22.283
"Pacific Place Phases I & II level 6, Covered Pedestrian
 Walkway and Escalators",Garden and Sitting-out Area,Central and Western,Private Owner,114.17,22.277
Bank of China Tower ground level,Garden and Sitting-out Area,Central and Western,Private Owner,114.16,22.279
The Sail At Victoriaground level,Garden and Sitting-out Area,Central and Western,Private Owner,114.12,22.281
Tai Ping Shan Lions View Point Pavilion,Lookout,Central and Western,Leisure and Cultural Services Department,114.151,22.2711
The Cenotaph,Memorial,Central and Western,Leisure and Cultural Services Department,114.16,22.2817
Sun Yat Sen Memorial Park,Park,Central and Western,Leisure and Cultural Services Department,114.145,22.2897
Belcher Bay Park,Park,Central and Western,Leisure and Cultural Services Department,114.13,22.2849
West End Park,Park,Central and Western,Leisure and Cultural Services Department,114.143,22.2836
Tamar Park,Park,Central and Western,Leisure and Cultural Services Department,114.166,22.2801
Pak Tsz Lane Park,Park,Central and Western,Leisure and Cultural Services Department,114.153,22.2834
Hollywood Road Park,Park,Central and Western,Leisure and Cultural Services Department,114.148,22.2861
Monmouth Park,Park,Central and Western,Leisure and Cultural Services Department,114.167,22.2761
"King George V Memorial Park, Hong Kong",Park,Central and Western,Leisure and Cultural Services Department,114.144,22.2856
Hong Kong Park,Park,Central and Western,Leisure and Cultural Services Department,114.161,22.2772
Central and Western District Promenade - Sheung W,Pet Garden,Central and Western,Leisure and Cultural Services Department,114.15,22.2892
Tseung Kwan O Waterfront Park,Pet Garden,Central and Western,Leisure and Cultural Services Department,114.26,22.302
Peak Road Garden,Pet Garden,Central and Western,Leisure and Cultural Services Department,114.15,22.2708
Kau U Fong Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.153,22.2844
Elgin Street Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.153,22.2811
Clarence Terrace Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.136,22.2852
Kennedy Road Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.157,22.2765
Kennedy Town Temporary Recreation Ground,Playground,Central and Western,Leisure and Cultural Services Department,114.121,22.2818
Kennedy Town Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.127,22.281
Kennedy Town Service Reservoir Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.127,22.2791
Smithfield Road Children’s Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.128,22.2838
Ki Ling Lane Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.142,22.2874
Whitty Street Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.136,22.2863
Conduit Road Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.142,22.2811
Conduit Road Service Reservoir Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.151,22.2775
Bridges Street Market Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.151,22.2832
Li Sing Street Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.146,22.2868
Mount Austin Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.148,22.2728
Mui Fong Street Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.143,22.2873
Gough Hill Path Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.154,22.2659
Rose Lane Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.139,22.2855
Fat Hing Street Children’S Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.148,22.2865
Sung Hing Lane Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.143,22.2872
Forbes Street Temporary Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.128,22.2811
Third Street Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.138,22.2856
Hollywood Road Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.15,22.2842
Brewin Path Temporary Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.156,22.2748
Pok Fu Lam Road Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.131,22.2779
Sai On Lane Children's Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.138,22.2869
Sai Woo Lane Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.144,22.2873
Sai Ying Pun Post Office Building Children's PG,Playground,Central and Western,Leisure and Cultural Services Department,114.14,22.2861
Magazine Gap Service Reservoir Playground,Playground,Central and Western,Leisure and Cultural Services Department,114.164,22.2713
Sheung Wan Sports Centre,Sports Centre,Central and Western,Leisure and Cultural Services Department,114.15,22.2862
Sun Yat Sen Memorial Park Sports Centre,Sports Centre,Central and Western,Leisure and Cultural Services Department,114.144,22.2901
Smithfield Sports Centre,Sports Centre,Central and Western,Leisure and Cultural Services Department,114.129,22.2818
Shek Tong Tsui Sports Centre,Sports Centre,Central and Western,Leisure and Cultural Services Department,114.136,22.2858
Cosco Tower and Grand Millennium Plaza,Square,Central and Western,Private Owner,114.15359,22.285
Central Pier Waterfront,Waterfront,Central and Western,Leisure and Cultural Services Department,114.159,22.2873
Central and Western District Promenade - Sheung W,Waterfront,Central and Western,Leisure and Cultural Services Department,114.15,22.2892
Tseung Kwan O Waterfront Park,Waterfront,Central and Western,Leisure and Cultural Services Department,114.26,22.302
Aldrich Bay Children’s Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.228,22.2794
Aldrich Bay Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.227,22.2787
Aldrich Street Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.228,22.2766
Aldrich Bay Promenade,Waterfront,Eastern District,Leisure and Cultural Services Department,114.229,22.2829
Basel Road Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.232,22.2817
Braemar Hill Road Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.2,22.2842
Braemar Hill Road Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.199,22.2853
Chai Wan North Service Reservoir Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.234,22.27
Chai Wan Park,Park and Playground,Eastern District,Leisure and Cultural Services Department,114.238,22.2667
Chai Wan Pool-side Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.246,22.2641
Chai Wan Road Children's Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.232,22.2737
Chai Wan Road Roundabout Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.238,22.2634
Chai Wan Road Sitting-out Area No.1,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.239,22.2635
Chai Wan Road Sitting-out Area No.2,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.238,22.2635
Chai Wan Road Temporary Rest Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.233,22.2701
Chai Wan Sports Centre,Sports Centre,Eastern District,Leisure and Cultural Services Department,114.24,22.2649
Cheung Man Road Rest Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.237,22.2664
Ching Wah Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.198,22.2891
Choi Sai Woo Park,Park and Playground,Eastern District,Leisure and Cultural Services Department,114.202,22.2867
Church Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.228,22.2774
City Garden ground level,Garden and Sitting-out Area,Eastern District,Private Owner,114.19,22.29
Cloud View Road Service Reservoir Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.195,22.2851
Comfort Terrace Rest Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.193,22.2869
Dragon Road Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.193,22.2827
Electric Road Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.192,22.2868
Factory Street Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.23,22.2767
Fei Tsui Road Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.234,22.2614
Finnie Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.21,22.2883
Fortress Hill Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.196,22.2891
Fortress Hill Road Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.195,22.2886
Fu Hong Street Pet Garden,Pet Garden,Eastern District,Leisure and Cultural Services Department,114.249,22.2688
Fu Hong Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.249,22.2688
Grand Promenade ground level,Waterfront,Eastern District,Private Owner,114.22,22.285
Greig Road Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.214,22.2844
Hang Fa Chuen Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.242,22.2746
Healthy Village Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.206,22.2907
Hing Wah Estate Playground No. 1,Playground,Eastern District,Leisure and Cultural Services Department,114.235,22.2632
Hoi Ning Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.223,22.2813
Hong Cheung Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.222,22.2831
Island East Sports Centre,Sports Centre,Eastern District,Leisure and Cultural Services Department,114.222,22.2847
Island Place ground level,Garden and Sitting-out Area,Eastern District,Private Owner,114.2,22.291
Java Road Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.21,22.2909
Java Road Sports Centre,Sports Centre,Eastern District,Leisure and Cultural Services Department,114.199,22.2923
Kam Wah Street Rest Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.23,22.2779
King's Road Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.204,22.2922
Lau Sin Street Temporary Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.192,22.283
Law Uk Folk Museum Rest Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.235,22.2642
Le Sommet ground level,Garden and Sitting-out Area,Eastern District,Private Owner,114.19,22.288
Lei King Wan Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.223,22.2836
Lok Man Road Pet Garden,Pet Garden,Eastern District,Leisure and Cultural Services Department,114.235,22.2685
Lok Man Road Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.235,22.2685
Man Hong Street Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.206,22.2933
Miu Tung Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.23,22.2803
Mong Lung Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.23,22.279
Mount Park Road Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.212,22.282
North Point Salt Water Service Reservoir  Sitting-out Area,Playground,Eastern District,Leisure and Cultural Services Department,114.201,22.2879
Nam On Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.228,22.2781
Nam On Street/Sun Shing Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.226,22.2797
Ngoi Man Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.226,22.2772
Ning Foo Street Amenity Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.237,22.2649
North Point Ferry Concourse Promenade/Playground,Waterfront,Eastern District,Leisure and Cultural Services Department,114.204,22.2935
North Point Market Roof-top Children's Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.205,22.2912
North Point Salt Water Service Res. Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.199,22.2884
Pak Fuk Road Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.207,22.2902
Pak Fuk Road Safety Town,Safety Town,Eastern District,Leisure and Cultural Services Department,114.207,22.2905
Provident Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.197,22.2923
Quarry Bay Park,Park,Eastern District,Leisure and Cultural Services Department,114.22,22.289
Quarry Bay Reservoir Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.213,22.2807
Quarry Bay Sports Centre,Sports Centre,Eastern District,Leisure and Cultural Services Department,114.212,22.2837
Sai Wan Ho Harbour Park,Park,Eastern District,Leisure and Cultural Services Department,114.223,22.2871
Sai Wan Ho Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.223,22.2861
Sai Wan Ho Sports Centre,Sports Centre,Eastern District,Leisure and Cultural Services Department,114.223,22.2821
San Ha Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.244,22.2652
Shau Kei Wan Market Building Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.23,22.2782
Shau Kei Wan Market Roof-top Children's Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.231,22.2781
Shau Kei Wan Road Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.229,22.2766
Shau Kei Wan Service Reservoir Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.218,22.2817
Shaukiwan Road Children's Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.228,22.2772
Sheung On Street Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.244,22.2665
Siu Sai Wan Promenade,Waterfront,Eastern District,Leisure and Cultural Services Department,114.252,22.2653
Siu Sai Wan Road Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.248,22.2659
Siu Sai Wan Sports Ground,Sports Ground,Eastern District,Leisure and Cultural Services Department,114.249,22.2675
Tai Lok Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.221,22.2826
Tai Man Street Sitting-out Area,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.235,22.268
Tai Tam Road/Chai Wan Road Amenity Plot,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.233,22.2706
Tanner Garden ground level,Garden and Sitting-out Area,Eastern District,Private Owner,114.2,22.29
"The Floridian at the junction of Hong
 On Street and Sai Wan Terrace",Garden and Sitting-out Area,Eastern District,Private Owner,114.22,22.284
The Orchards ground level,Garden and Sitting-out Area,Eastern District,Private Owner,114.21,22.284
Tin Chiu Street Children's Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.203,22.2931
Tin Chiu Street Playground,Playground,Eastern District,Leisure and Cultural Services Department,114.203,22.2926
Tin Hau Temple Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.193,22.2821
Tin Hau Temple Road Garden No. 1,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.2,22.2882
Tin Hau Temple Road Garden No. 3,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.195,22.286
Tin Hau Temple Road Park,Park,Eastern District,Leisure and Cultural Services Department,114.203,22.2883
Tin Hau Temple Road/Fortress Hill Road Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.195,22.2866
Tong Shui Road Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.198,22.2928
Victoria Park,Park,Eastern District,Leisure and Cultural Services Department,114.189,22.2825
Wai Tsui Crescent Community Garden,Community Garden,Eastern District,Leisure and Cultural Services Department,114.197,22.2851
Wan Tsui Road Amenity Plot,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.235,22.2619
Watson Road Rest Garden,Garden and Sitting-out Area,Eastern District,Leisure and Cultural Services Department,114.19,22.2874
